file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2020212050318-s0028-0000000299798795-0190-s_lc.fits,299798795,28,slow,1.23348809573331,0.6353865126014054,1.82867408,1.23348809573331,0.616472604223349,1.4992063480835662,1.038582405053353,1.7167489358532049,0.6353865126014054,0.1217660356890909,0.0391251858858066,0.0295842782634392,0.0108300958299572,True,1.228666162061912,True,True,False,1.23348809573331
tess2020212050318-s0028-0000000299799658-0190-a_fast-lc.fits,299799658,28,fast,3.2151767336056425,0.013371043009683,0.45390606,3.2151767336056425,4.96123191234894,2.702951096280721,3.966934990100456,2.33150720314266,0.013371043009683,0.0049424685071487,0.0042769233504655,0.0026206704452462,0.001665933789768,False,8.645363270039987,False,False,False,3.2151767336056425
tess2020212050318-s0028-0000000299799658-0190-s_lc.fits,299799658,28,slow,10.845465121378068,0.0120069212447565,0.20208061,10.845465121378068,4.75337452199378,6.60979390336076,3.8310920190526137,1.1738683384935775,0.0120069212447565,0.0058938346622905,0.0052767731992539,0.0038189345804362,0.0021662725310671,False,8.645363270039987,False,False,False,10.845465121378068
tess2020212050318-s0028-0000000394357918-0190-s_lc.fits,394357918,28,slow,0.2125679317228555,0.0013446476401682,4.2858839,0.2125679317228555,2.715018375114969,2.333479169717261,0.054421762537797,0.094822586431702,0.0013446476401682,0.001055326121993,0.0010486241148914,0.0008910062137502,0.0008774054162129,False,6.419231756442765,False,False,False,0.2125679317228555
tess2020238165205-s0029-0000000166836920-0193-a_fast-lc.fits,166836920,29,fast,2.8792436166745694,0.0247025300944614,0.36794782,2.8792436166745694,1.4433349586873123,0.9556558548657194,0.822945526548725,0.7184278505021302,0.0247025300944614,0.0222399557548377,0.0190827371803428,0.0189087715417898,0.0188747471872979,False,1.1512341645067294,False,False,False,2.8792436166745694
tess2020238165205-s0029-0000000166836920-0193-s_lc.fits,166836920,29,slow,1.434949046998687,0.0582065122663144,0.17171979,1.434949046998687,0.9573119144006657,1.9268029868816705,0.7182389133123316,2.931691712658699,0.0582065122663144,0.0532517724155716,0.0489823715474332,0.0422174508869064,0.0406269022403978,True,1.1512341645067294,False,False,False,1.434949046998687
tess2020238165205-s0029-0000000207110080-0193-s_lc.fits,207110080,29,slow,0.3232397557617946,0.0026685263110771,0.43383718,0.3232397557617946,5.267463227954498,1.6410153592992809,1.0472547528627234,0.4551604337864517,0.0026685263110771,0.0024738258191874,0.0022180984126729,0.0021101630575271,0.0019376841838003,False,1.324557101707283,False,False,False,0.3232397557617946
tess2020266004630-s0030-0000000122612091-0195-a_fast-lc.fits,122612091,30,fast,1.1058021384459162,0.0135543798050051,0.81944704,1.1058021384459162,0.7378916553816786,0.5536779413793161,2.2054153873602207,0.3692915894229477,0.0135543798050051,0.0106900369892793,0.01037234362781,0.0103558030913476,0.0085945195184393,False,2.2008170474678472,False,False,False,1.1058021384459162
tess2020266004630-s0030-0000000122612091-0195-s_lc.fits,122612091,30,slow,1.1049604320284212,0.0566200977082533,0.38993359,1.1049604320284212,2.2038343131740863,0.7373190640917212,0.5532441910779111,0.3689995461162852,0.0566200977082533,0.0557940183523576,0.0458697414028456,0.0444000774173261,0.033711436295003,True,2.2008170474678472,False,False,True,2.2038343131740863
tess2020266004630-s0030-0000000166836920-0195-a_fast-lc.fits,166836920,30,fast,0.8233505078216714,0.0064959568750121,0.36514282,0.8233505078216714,0.960962503014918,1.1438256602615309,0.6400401307393981,0.7202142104567534,0.0064959568750121,0.0061075625940005,0.0058299650572986,0.0058274327195077,0.005695889729098,False,1.1512341645067294,False,False,False,0.8233505078216714
tess2020266004630-s0030-0000000166836920-0195-s_lc.fits,166836920,30,slow,1.1493474316761243,0.0468550570892203,0.18680215,1.1493474316761243,0.8230835216151162,0.95571842759641,1.9323289407755333,0.6379616945931953,0.0468550570892203,0.0419055071778291,0.04162873092361,0.0412446750082254,0.0397796654928075,False,1.1512341645067294,True,False,False,1.1493474316761243
tess2020266004630-s0030-0000000178155732-0195-a_fast-lc.fits,178155732,30,fast,3.611993252909364,0.009112879694944,0.08083582,3.611993252909364,9.050200844891828,6.415772559298034,4.621912324313513,2.6655331297517737,0.009112879694944,0.0070657783954126,0.0042979234159001,0.0038552667988843,0.0027176954187559,False,3.0884874267745084,False,False,False,3.611993252909364
